step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,3.3160324096679688,0.6978725392342329,224944,10.115927457809448,1.0
2,3.6738243103027344,0.6978725392342329,329968,21.97585105895996,0.5524452275157469
3,4.019725799560547,0.6114060213991399,443768,34.509467124938965,0.41606066479455417
4,4.493228912353516,0.6114060213991399,558772,54.04793429374695,0.34636672126895796
5,4.89862060546875,0.6114060213991399,694944,72.86943483352661,0.3016690756599141
6,5.2427825927734375,0.6114060213991399,851180,96.35309505462646,0.27009553796207253
7,5.907543182373047,0.43660913781628613,1019364,123.45742082595825,0.24316774290409435
8,6.370445251464844,0.43660913781628613,1194792,156.2523651123047,0.22242477857275642
9,6.78814697265625,0.43660913781628613,1366136,194.13188219070435,0.2055623471273898
10,7.081546783447266,0.43660913781628613,1537320,235.97960686683655,0.19279244323817404
11,7.575656890869141,0.43660913781628613,1716100,305.56344056129456,0.18212448174156462
12,7.670124053955078,0.43660913781628613,1882500,356.98858761787415,0.17300558151296386
13,8.279098510742188,0.43660913781628613,2058372,433.51756048202515,0.16478597660145214
14,8.89406967163086,0.43660913781628613,2236600,517.1281101703644,0.15810719629311532
15,9.219112396240234,0.43660913781628613,2427828,587.3544309139252,0.15144280395366191
16,9.504081726074219,0.40725562344740635,2612068,680.6093602180481,0.14648531509118567
17,9.832023620605469,0.40725562344740635,2798624,781.1715617179871,0.1425261861808423
18,10.264213562011719,0.40725562344740635,2985264,889.9676909446716,0.13895329381816673
19,10.607906341552734,0.40725562344740635,3174892,1047.0540840625763,0.13590265256273068
20,11.001972198486328,0.40725562344740635,3378028,1169.9196858406067,0.13237993278854188
21,11.347084045410156,0.40725562344740635,3575344,1302.6692762374878,0.12951620300514938
22,13.004070281982422,0.40725562344740635,3784148,1444.5531167984009,0.12774796665757557
23,13.676956176757812,0.40725562344740635,3989412,1565.0327587127686,0.12589786252617688
24,14.204727172851562,0.40725562344740635,4202672,1719.87930893898,0.12396217902644675
25,14.659042358398438,0.40725562344740635,4423692,1884.1075503826141,0.12258305245894908
26,15.187076568603516,0.40725562344740635,4647424,2061.856249809265,0.12135998995134441
27,15.515514373779297,0.40725562344740635,4855204,2245.7930970191956,0.12009934996912433
28,15.779800415039062,0.40725562344740635,5084572,2438.2954981327057,0.1187209725746073
29,16.648483276367188,0.40725562344740635,5312712,2602.47913813591,0.11802534321759225
30,15.189525604248047,0.40725562344740635,5543440,346.1522569656372,0.11702242558656606
31,17.320648193359375,0.40725562344740635,5788732,692.3906891345978,0.11639188413112127
32,17.897674560546875,0.40725562344740635,6032512,1129.798981666565,0.11550630122358896
33,18.113765716552734,0.3817312914636379,6287544,1513.1120154857635,0.11540323731405473
34,18.430461883544922,0.3817312914636379,6546204,1912.2303330898285,0.1146515703272256
35,21.127803802490234,0.3817312914636379,6823572,308.09099292755127,0.11434453099054183
36,23.015445709228516,0.3817312914636379,7112212,575.9901490211487,0.11463348358880672
37,22.924694061279297,0.3817312914636379,7390908,329.44653940200806,0.11468232985716281
